BookID,Title,Author,YearPublished,Genre,Price,CopiesAvailable,Rating
293,The Catcher in the Rye,Herman Melville,1961,Adventure,804,12,9.8
294,The Catcher in the Rye,J.D. Salinger,1951,Science Fiction,268,16,7.6
295,War and Peace,J.D. Salinger,1975,Mystery,303,19,1.4
296,Pride and Prejudice,F. Scott Fitzgerald,1974,Drama,265,5,8.2
297,The Great Gatsby,George Orwell,1973,Science Fiction,938,14,2.7
298,Pride and Prejudice,Jane Austen,1972,Science Fiction,192,6,8.6
299,The Odyssey,Harper Lee,1908,Classic,826,2,8.3
300,To Kill a Mockingbird,F. Scott Fitzgerald,1943,Horror,594,5,5.1
301,To Kill a Mockingbird,Charlotte Bronte,1945,Classic,967,14,4.1
302,War and Peace,F. Scott Fitzgerald,1976,Adventure,746,12,0.4
303,Pride and Prejudice,Charlotte Bronte,1951,Classic,441,14,7.5
304,To Kill a Mockingbird,George Orwell,1976,Fiction,506,9,6.2
305,War and Peace,Harper Lee,2015,Horror,707,20,4.9
306,The Great Gatsby,Leo Tolstoy,1907,Mystery,689,2,6.5
307,Ulysses,George Orwell,1960,Mystery,157,6,3.4
308,War and Peace,Harper Lee,1922,Drama,869,7,6.3
309,War and Peace,Charlotte Bronte,1975,Mystery,541,19,8.8
310,The Catcher in the Rye,Charlotte Bronte,1961,Adventure,377,2,3.7
311,Moby Dick,F. Scott Fitzgerald,1924,Drama,459,4,5.3
312,To Kill a Mockingbird,Herman Melville,2013,Drama,923,16,8.4
313,Moby Dick,Leo Tolstoy,2012,Classic,814,17,7.6
314,Jane Eyre,J.D. Salinger,1907,Classic,956,10,2.6
315,War and Peace,F. Scott Fitzgerald,1911,Classic,675,10,6.2
316,Pride and Prejudice,Harper Lee,1956,Science Fiction,197,12,3.7
317,Pride and Prejudice,J.D. Salinger,2020,Drama,324,15,4.7
318,To Kill a Mockingbird,Jane Austen,1937,Fiction,109,20,3
319,War and Peace,Herman Melville,1966,Science Fiction,140,18,7.8
320,1984,J.D. Salinger,2006,Classic,279,8,9.3
321,The Catcher in the Rye,F. Scott Fitzgerald,1926,Fantasy,508,10,9.7
322,Ulysses,George Orwell,1939,Mystery,173,7,3.3
323,Jane Eyre,Harper Lee,1999,Horror,255,3,9.5
324,The Odyssey,James Joyce,1959,Mystery,762,6,1
325,War and Peace,Herman Melville,1941,Fantasy,917,10,7.4
326,Pride and Prejudice,Charlotte Bronte,1995,Mystery,940,1,2.3
327,1984,F. Scott Fitzgerald,1935,Drama,434,10,4.4
328,War and Peace,Charlotte Bronte,1990,Science Fiction,559,4,0.7
329,Ulysses,Herman Melville,2024,Classic,610,13,3.7
330,Jane Eyre,Jane Austen,1974,Adventure,929,5,3.9
331,The Great Gatsby,Leo Tolstoy,1933,Romance,396,1,1.9
332,War and Peace,Herman Melville,1914,Horror,1000,14,4.8
333,The Catcher in the Rye,James Joyce,2000,Adventure,158,15,8.3
334,Pride and Prejudice,Homer,1996,Fiction,831,15,7.7
335,To Kill a Mockingbird,Harper Lee,1980,Adventure,150,3,0.6
336,Ulysses,F. Scott Fitzgerald,2016,Drama,125,1,6.4
337,The Odyssey,George Orwell,1977,Horror,103,12,8.3
338,To Kill a Mockingbird,Herman Melville,1946,Adventure,106,17,6.8
339,The Great Gatsby,F. Scott Fitzgerald,1902,Biography,721,7,8.1
340,Jane Eyre,F. Scott Fitzgerald,1985,Fiction,969,14,0.3
341,The Odyssey,James Joyce,1949,Romance,391,1,3.5
342,Moby Dick,Harper Lee,1928,Biography,239,12,9.2
343,Ulysses,George Orwell,1920,Science Fiction,117,17,1
344,1984,Homer,1938,Drama,716,10,7.5
345,The Great Gatsby,Harper Lee,1955,Drama,700,3,8.6
346,Ulysses,Harper Lee,1983,Fantasy,103,11,0.7
347,Ulysses,Charlotte Bronte,1923,Romance,894,2,0.9
348,Moby Dick,Charlotte Bronte,1968,Drama,735,14,10
349,Ulysses,Homer,1907,Drama,574,17,0.7
350,The Odyssey,George Orwell,2007,Fantasy,580,15,3.4
351,Pride and Prejudice,James Joyce,1987,Adventure,774,7,7.8
352,To Kill a Mockingbird,Herman Melville,2023,Fantasy,351,13,9.3
353,To Kill a Mockingbird,Herman Melville,1971,Fantasy,676,8,8.6
354,The Catcher in the Rye,J.D. Salinger,1935,Fantasy,561,16,3.1
355,Ulysses,J.D. Salinger,1982,Drama,705,13,4.1
356,War and Peace,Jane Austen,2020,Adventure,173,13,9.1
357,Moby Dick,George Orwell,1963,Fiction,597,13,1.3
358,The Catcher in the Rye,Jane Austen,1973,Mystery,930,18,4.4
359,Moby Dick,F. Scott Fitzgerald,1938,Fantasy,100,11,2.9
360,To Kill a Mockingbird,Harper Lee,1926,Biography,982,15,9.5
361,Ulysses,Leo Tolstoy,1933,Mystery,659,15,3.4
362,1984,Homer,1955,Fantasy,659,11,2.6
363,To Kill a Mockingbird,James Joyce,1965,Mystery,363,1,2.8
364,Jane Eyre,F. Scott Fitzgerald,1995,Fantasy,380,7,5.9
365,Jane Eyre,Leo Tolstoy,1977,Science Fiction,681,9,9.1
366,The Odyssey,Charlotte Bronte,1973,Adventure,652,12,5.4
367,The Odyssey,Leo Tolstoy,1940,Biography,963,7,6.1
368,1984,George Orwell,1965,Mystery,768,15,7.7
369,The Great Gatsby,Harper Lee,2021,Horror,814,10,3.7
370,Moby Dick,J.D. Salinger,1917,Drama,972,14,0.7
371,The Catcher in the Rye,James Joyce,1961,Biography,283,20,9.5
372,The Great Gatsby,Charlotte Bronte,1945,Drama,621,2,3.6
373,Ulysses,Leo Tolstoy,1909,Horror,609,7,4.9
374,Ulysses,Charlotte Bronte,1996,Romance,540,15,9.3
375,Moby Dick,Harper Lee,1953,Romance,360,20,8.9
376,Pride and Prejudice,Jane Austen,1907,Science Fiction,390,16,9.5
377,The Great Gatsby,Harper Lee,1912,Fiction,743,16,7.9
378,The Catcher in the Rye,James Joyce,1919,Drama,449,8,3.4
379,Moby Dick,George Orwell,2023,Horror,939,7,3.4
380,War and Peace,Jane Austen,1928,Fantasy,724,16,7
381,Jane Eyre,Herman Melville,2015,Classic,871,10,7.6
382,The Great Gatsby,James Joyce,2018,Biography,834,13,5.4
383,1984,Charlotte Bronte,2009,Adventure,452,8,9.1
384,Jane Eyre,Harper Lee,1951,Romance,152,1,4.3
385,Pride and Prejudice,Harper Lee,2013,Fiction,592,16,5.9
386,Jane Eyre,James Joyce,1986,Biography,583,3,8.4
387,The Catcher in the Rye,Harper Lee,1935,Biography,174,6,2.2
388,The Catcher in the Rye,J.D. Salinger,1930,Drama,618,1,5.3
389,Ulysses,F. Scott Fitzgerald,1913,Fiction,883,16,5.5
390,Jane Eyre,James Joyce,1989,Classic,980,12,3.5
391,The Odyssey,Homer,1969,Adventure,593,6,3.7
392,Pride and Prejudice,Leo Tolstoy,1944,Fiction,347,10,9.6
393,To Kill a Mockingbird,James Joyce,1943,Adventure,326,9,2.9
394,The Catcher in the Rye,James Joyce,2012,Fantasy,902,1,5.8
395,The Catcher in the Rye,Leo Tolstoy,2019,Romance,254,5,7
396,Ulysses,Charlotte Bronte,1946,Classic,639,19,6.5
397,To Kill a Mockingbird,Herman Melville,1957,Drama,219,2,9.1
398,The Odyssey,George Orwell,1935,Fiction,524,20,1.9
399,The Great Gatsby,Herman Melville,1971,Classic,336,6,5.7
400,The Great Gatsby,J.D. Salinger,1926,Classic,635,7,7.9
401,The Catcher in the Rye,George Orwell,1982,Adventure,536,1,9.5
402,Moby Dick,Charlotte Bronte,1941,Biography,189,20,1.7
403,1984,Homer,1916,Drama,941,15,0.8
404,The Catcher in the Rye,Leo Tolstoy,1924,Horror,718,8,4.6
405,Jane Eyre,James Joyce,2015,Fiction,942,9,1.3
406,1984,J.D. Salinger,1905,Adventure,991,18,8.4
407,Jane Eyre,Charlotte Bronte,1971,Biography,461,16,3.5
408,War and Peace,James Joyce,2024,Fiction,485,18,9
409,Ulysses,Charlotte Bronte,1959,Drama,280,4,1.8
410,The Catcher in the Rye,F. Scott Fitzgerald,1901,Classic,171,9,7.7
411,Jane Eyre,Harper Lee,1977,Romance,367,5,8.4
412,To Kill a Mockingbird,George Orwell,1987,Horror,531,8,3.5
413,Pride and Prejudice,Herman Melville,1957,Adventure,807,17,3.8
414,Ulysses,J.D. Salinger,1982,Mystery,797,13,0.7
415,Pride and Prejudice,J.D. Salinger,1950,Fiction,752,17,2.8
416,Jane Eyre,Harper Lee,1937,Horror,198,7,0.7
417,1984,Harper Lee,1976,Drama,680,1,6.4
418,1984,James Joyce,1954,Fiction,174,7,3.7
